0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
"{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AYTRE', 'LABEL': 'i-company'}","{'TEXT': 'Lundi', 'LABEL': 'b-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Aÿtré.', 'LABEL': 'i-address'}","{'TEXT': '2.20€', 'LABEL': 'b-total'}","{'TEXT': '20/01/2016', 'LABEL': 'b-date'}",{'id': '228'},,,,,,,,,
"{'TEXT': 'RAGAZZI', 'LABEL': 'b-company'}","{'TEXT': 'DA', 'LABEL': 'i-company'}","{'TEXT': 'PEPPONE', 'LABEL': 'i-company'}","{'TEXT': '32', 'LABEL': 'b-address'}","{'TEXT': 'rue', 'LABEL': 'i-address'}","{'TEXT': 'ST', 'LABEL': 'i-address'}","{'TEXT': 'NICOLAS', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '20', 'LABEL': 'b-date'}","{'TEXT': 'JAN', 'LABEL': 'i-date'}","{'TEXT': '2017', 'LABEL': 'i-date'}","{'TEXT': '$0.10', 'LABEL': 'b-total'}",{'id': '1964'},,,,,,,,,,,,,,,,
"{'TEXT': 'Carrefour', 'LABEL': 'b-company'}","{'TEXT': 'market', 'LABEL': 'i-company'}","{'TEXT': 'AYTRE', 'LABEL': 'i-company'}","{'TEXT': '0546457320', 'LABEL': 'b-address'}","{'TEXT': 'Lundi', 'LABEL': 'i-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '20h00', 'LABEL': 'i-address'}","{'TEXT': 'Dimanche', 'LABEL': 'i-address'}","{'TEXT': '9h', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12h30', 'LABEL': 'i-address'}","{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'Nicolas', 'LABEL': 'i-address'}","{'TEXT': 'Gargot', 'LABEL': 'i-address'}","{'TEXT': '17440', 'LABEL': 'i-address'}","{'TEXT': 'Aÿtré.', 'LABEL': 'i-address'}",{'id': '214'},,,,,,,,,,
"{'TEXT': 'Rue', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'la', 'LABEL': 'i-address'}","{'TEXT': 'Scierie', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}",{'id': '1780'},,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'VAUVERT', 'LABEL': 'b-company'}","{'TEXT': 'Lundi', 'LABEL': 'i-address'}","{'TEXT': 'au', 'LABEL': 'i-address'}","{'TEXT': 'Samedi', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'BH30', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '19H30', 'LABEL': 'i-address'}","{'TEXT': 'D‘imanche', 'LABEL': 'i-address'}","{'TEXT': '9H00', 'LABEL': 'i-address'}","{'TEXT': 'à', 'LABEL': 'i-address'}","{'TEXT': '12H30', 'LABEL': 'i-address'}","{'TEXT': 'Bienvenue', 'LABEL': 'i-address'}","{'TEXT': 'chez', 'LABEL': 'i-address'}","{'TEXT': 'Carrefour', 'LABEL': 'i-address'}","{'TEXT': 'Market', 'LABEL': 'i-address'}","{'TEXT': '18/03/2017', 'LABEL': 'b-date'}",{'id': '566'},,,,,,,,,,,,,
"{'TEXT': 'POTIN', 'LABEL': 'b-company'}","{'TEXT': 'dominique', 'LABEL': 'i-company'}","{'TEXT': 'Centre', 'LABEL': 'i-company'}","{'TEXT': 'Commercial', 'LABEL': 'i-company'}","{'TEXT': 'de', 'LABEL': 'i-company'}","{'TEXT': 'Beaulieu', 'LABEL': 'i-company'}","{'TEXT': '17138', 'LABEL': 'i-address'}","{'TEXT': 'PUTLBOREAU', 'LABEL': 'i-address'}","{'TEXT': '37,57', 'LABEL': 'b-total'}","{'TEXT': '20/01/', 'LABEL': 'b-date'}",{'id': '943'},,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'LÀ', 'LABEL': 'b-company'}","{'TEXT': 'HÀ', 'LABEL': 'i-company'}","{'TEXT': 'LL', 'LABEL': 'i-company'}","{'TEXT': 'E', 'LABEL': 'i-company'}","{'TEXT': '04', 'LABEL': 'b-address'}","{'TEXT': '0500', 'LABEL': 'i-address'}","{'TEXT': '10', 'LABEL': 'i-address'}","{'TEXT': 'BEAULTEU', 'LABEL': 'i-address'}","{'TEXT': '2000', 'LABEL': 'i-address'}","{'TEXT': '17138', 'LABEL': 'i-address'}","{'TEXT': 'PUILBOREAU', 'LABEL': 'i-address'}","{'TEXT': '21/12/2016', 'LABEL': 'b-date'}",{'id': '994'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'E.LECLERG', 'LABEL': 'b-company'}","{'TEXT': 'SAINT', 'LABEL': 'i-company'}","{'TEXT': 'JEAN', 'LABEL': 'i-company'}","{'TEXT': 'D', 'LABEL': 'i-company'}","{'TEXT': '‘ANGELY', 'LABEL': 'i-company'}","{'TEXT': '2017', 'LABEL': 'i-date'}","{'TEXT': '18/01/17', 'LABEL': 'b-date'}",{'id': '758'},,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': '348', 'LABEL': 'b-address'}","{'TEXT': '991', 'LABEL': 'i-company'}","{'TEXT': 'bAR', 'LABEL': 'i-company'}","{'TEXT': '2ARA', 'LABEL': 'i-address'}","{'TEXT': '—', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '14/01/2017', 'LABEL': 'b-date'}","{'TEXT': '7,00', 'LABEL': 'b-total'}",{'id': '770'},,,,,,,,,,,,,,,,,,,,,
"{'TEXT': '371', 'LABEL': 'b-company'}","{'TEXT': '—', 'LABEL': 'i-company'}","{'TEXT': 'PICARD', 'LABEL': 'i-company'}","{'TEXT': 'SURGELES', 'LABEL': 'i-company'}","{'TEXT': 'SAS', 'LABEL': 'i-company'}","{'TEXT': 'AVENUE', 'LABEL': 'i-address'}","{'TEXT': 'DU', 'LABEL': 'i-address'}","{'TEXT': 'FTEF', 'LABEL': 'i-address'}","{'TEXT': 'ROSE', 'LABEL': 'i-address'}","{'TEXT': '17140', 'LABEL': 'i-address'}","{'TEXT': 'LAGORD', 'LABEL': 'i-address'}","{'TEXT': 'L‘enseigne', 'LABEL': 'i-address'}","{'TEXT': 'préférée', 'LABEL': 'i-address'}","{'TEXT': 'des', 'LABEL': 'i-address'}","{'TEXT': 'Français', 'LABEL': 'i-address'}",{'id': '764'},,,,,,,,,,,,,,,
"{'TEXT': 'E.LEcLERC', 'LABEL': 'b-company'}","{'TEXT': 'SAÏNT', 'LABEL': 'i-company'}","{'TEXT': 'JEAN', 'LABEL': 'i-company'}","{'TEXT': 'D', 'LABEL': 'i-company'}","{'TEXT': '”ANGELY', 'LABEL': 'i-company'}","{'TEXT': 'mai', 'LABEL': 'i-date'}","{'TEXT': '2017', 'LABEL': 'i-date'}","{'TEXT': '03/05/17', 'LABEL': 'b-date'}","{'TEXT': '0.50', 'LABEL': 'b-total'}",{'id': '1597'},,,,,,,,,,,,,,,,,,,,,
"{'TEXT': '56', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DU', 'LABEL': 'i-address'}","{'TEXT': 'PERE', 'LABEL': 'i-address'}","{'TEXT': '17180', 'LABEL': 'i-address'}","{'TEXT': 'PERIGNY', 'LABEL': 'i-address'}","{'TEXT': '16/12/2016', 'LABEL': 'b-date'}","{'TEXT': '58.50€', 'LABEL': 'b-total'}",{'id': '771'},,,,,,,,,,,,,,,,,,,,,,
{'id': '981'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'RTCR', 'LABEL': 'b-company'}","{'TEXT': 'rue', 'LABEL': 'b-address'}","{'TEXT': 'du', 'LABEL': 'i-address'}","{'TEXT': 'Moulin', 'LABEL': 'i-address'}","{'TEXT': 'de', 'LABEL': 'i-address'}","{'TEXT': 'Vendôme', 'LABEL': 'i-address'}","{'TEXT': '17140', 'LABEL': 'i-address'}","{'TEXT': 'LAGORD', 'LABEL': 'i-address'}","{'TEXT': 'E.01', 'LABEL': 'i-address'}","{'TEXT': '1D.03', 'LABEL': 'i-address'}","{'TEXT': 'Vendeur', 'LABEL': 'i-address'}","{'TEXT': ':0705', 'LABEL': 'i-address'}","{'TEXT': '24/12/2016', 'LABEL': 'b-date'}","{'TEXT': 'è9l', 'LABEL': 'i-address'}","{'TEXT': '+', 'LABEL': 'i-address'}","{'TEXT': 'Bloliaakietk', 'LABEL': 'i-address'}","{'TEXT': '22.00', 'LABEL': 'b-total'}",{'id': '1540'},,,,,,,,,,,,,
"{'TEXT': '19.49', 'LABEL': 'b-total'}","{'TEXT': '27/09/2016', 'LABEL': 'b-date'}",{'id': '956'},,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'SARL', 'LABEL': 'b-company'}","{'TEXT': 'MONTER', 'LABEL': 'i-company'}","{'TEXT': 'DISTRIBUTION', 'LABEL': 'i-company'}","{'TEXT': '9', 'LABEL': 'b-address'}","{'TEXT': 'PLACE', 'LABEL': 'i-address'}","{'TEXT': 'CDT', 'LABEL': 'i-address'}","{'TEXT': 'MOTTE', 'LABEL': 'i-address'}","{'TEXT': 'ROUGE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '11/01/2017', 'LABEL': 'b-date'}",{'id': '201'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'Restaurant', 'LABEL': 'b-company'}","{'TEXT': 'McDonald‘s', 'LABEL': 'i-company'}","{'TEXT': 'ANGQULTNS', 'LABEL': 'i-company'}","{'TEXT': 'Centre', 'LABEL': 'i-address'}","{'TEXT': 'Commerma1', 'LABEL': 'i-address'}","{'TEXT': 'Carrefour', 'LABEL': 'i-address'}","{'TEXT': 'e', 'LABEL': 'i-address'}","{'TEXT': 'Rochefort', 'LABEL': 'i-address'}","{'TEXT': 'HBBÜ', 'LABEL': 'i-address'}","{'TEXT': 'ANGÛULÏNo', 'LABEL': 'i-address'}","{'TEXT': 'SUR', 'LABEL': 'i-address'}","{'TEXT': 'MER', 'LABEL': 'i-address'}","{'TEXT': 'x.05.46.,', 'LABEL': 'i-address'}","{'TEXT': '56', 'LABEL': 'i-address'}","{'TEXT': '.', 'LABEL': 'i-address'}","{'TEXT': '25', 'LABEL': 'i-address'}","{'TEXT': '.92', 'LABEL': 'i-address'}","{'TEXT': 'ÊIPEÏ', 'LABEL': 'i-address'}","{'TEXT': '403…ﬁbBñ100()27', 'LABEL': 'i-address'}","{'TEXT': '—', 'LABEL': 'i-address'}","{'TEXT': 'APE', 'LABEL': 'i-address'}","{'TEXT': '56100', 'LABEL': 'i-address'}","{'TEXT': '13/09/201b', 'LABEL': 'b-date'}","{'TEXT': '12,50', 'LABEL': 'b-total'}",{'id': '1795'},,,,,,
"{'TEXT': 'CARREFOUR', 'LABEL': 'b-company'}","{'TEXT': 'SAÏNT', 'LABEL': 'i-company'}","{'TEXT': 'BRIEUC', 'LABEL': 'i-company'}","{'TEXT': 'RUE', 'LABEL': 'b-address'}","{'TEXT': 'JULES', 'LABEL': 'i-address'}","{'TEXT': 'VERNES', 'LABEL': 'i-address'}","{'TEXT': 'RN12', 'LABEL': 'i-address'}","{'TEXT': '22360', 'LABEL': 'i-address'}","{'TEXT': 'LANGUEU', 'LABEL': 'i-address'}","{'TEXT': 'Juin', 'LABEL': 'b-date'}","{'TEXT': '17', 'LABEL': 'i-date'}","{'TEXT': '2017', 'LABEL': 'i-date'}",{'id': '598'},,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '9.T4€', 'LABEL': 'b-total'}","{'TEXT': '24/04/2017', 'LABEL': 'b-date'}",{'id': '413'},,,,,,,,,,,,,,,,,
"{'TEXT': '+', 'LABEL': 'i-company'}","{'TEXT': 'CRF', 'LABEL': 'b-company'}","{'TEXT': 'f', 'LABEL': 'i-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'i-address'}","{'TEXT': 'R', 'LABEL': 'i-address'}","{'TEXT': 'V', 'LABEL': 'i-address'}","{'TEXT': ')', 'LABEL': 'i-address'}","{'TEXT': 'E', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'SCIÈRIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'Là', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '4.30€', 'LABEL': 'b-total'}","{'TEXT': '06/06/2017', 'LABEL': 'b-date'}",{'id': '375'},,,,,,,,,,,,
"{'TEXT': 'LA', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '170', 'LABEL': 'b-address'}","{'TEXT': 'AV', 'LABEL': 'i-address'}","{'TEXT': 'EMTLE', 'LABEL': 'i-address'}","{'TEXT': 'NORMANDIN', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '50.00€', 'LABEL': 'b-total'}","{'TEXT': '04/01/2017', 'LABEL': 'b-date'}",{'id': '177'},,,,,,,,,,,,,,,,,,,
"{'TEXT': 'BIOTOPE', 'LABEL': 'b-company'}","{'TEXT': '84000', 'LABEL': 'b-address'}","{'TEXT': 'AVISN', 'LABEL': 'i-address'}","{'TEXT': '!', 'LABEL': 'i-address'}","{'TEXT': 'N', 'LABEL': 'i-address'}","{'TEXT': '05/07/2017', 'LABEL': 'b-date'}",{'id': '611'},,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'CRF—CITY', 'LABEL': 'b-company'}","{'TEXT': 'LÀ', 'LABEL': 'i-company'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-company'}","{'TEXT': '33', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'DE', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'SCIERIE', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LÀ', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '146', 'LABEL': 'i-total'}","{'TEXT': '15/01/', 'LABEL': 'b-date'}",{'id': '89'},,,,,,,,,,,,,,,,,
"{'TEXT': '15/07/2017', 'LABEL': 'b-date'}","{'TEXT': '1229', 'LABEL': 'b-total'}",{'id': '605'},,,,,,,,,,,,,,,,,,,,,,,,,,,,
"{'TEXT': 'Bienvenue', 'LABEL': 'b-company'}","{'TEXT': 'POUPEE', 'LABEL': 'i-company'}","{'TEXT': 'POU', 'LABEL': 'i-company'}","{'TEXT': '34', 'LABEL': 'b-address'}","{'TEXT': 'RUE', 'LABEL': 'i-address'}","{'TEXT': 'GARGOU', 'LABEL': 'i-address'}","{'TEXT': '!', 'LABEL': 'i-address'}","{'TEXT': '!', 'LABEL': 'i-address'}","{'TEXT': 'AU', 'LABEL': 'i-address'}","{'TEXT': '17000', 'LABEL': 'i-address'}","{'TEXT': 'LA', 'LABEL': 'i-address'}","{'TEXT': 'ROCHELLE', 'LABEL': 'i-address'}","{'TEXT': '04/05/2017', 'LABEL': 'b-date'}","{'TEXT': 'Eur', 'LABEL': 'b-total'}",{'id': '639'},,,,,,,,,,,,,,,,
